Year,Urban population,Rural population,Forest area,Agricultural land,Agricultural methane emissions,Agricultural nitrous oxide emissions,coal_consumption,fossil_fuel_consumption,gas_consumption,hydro_consumption,oil_consumption,other_renewable_consumption,primary_energy_consumption,renewables_consumption,population,Temperature,co2,total_ghg,methane,nitrous_oxide,gdp,Cattle,Pigs,Agricultural methane emissions kT,Agricultural nitrous oxide emissions kT
1990,22999996,10102573,649581.4,450830,41850,16290,18.582,169.589,37.42,76.377,113.588,0.761,246.728,77.139,33103000,23.458,56.898,217.08,57.47,18.06,26371,24383504,2640000,41.85,16.29
1991,23613613,10144715,647358.76,448840,41440,16240,23.369,178.496,38.583,77.017,116.545,0.747,256.26,77.764,33758000,23.648,56.654,218.85,57.51,18.06,34170,24350208,2642000,41.44,16.24
1992,24238651,10183917,645136.12,449830,42030,16180,39.087,205.202,37.966,61.891,128.149,0.944,268.037,62.835,34423000,23.656,61.495,222.51,58.54,18.05,44200,24772496,2644000,42.03,16.18
1993,24870588,10220684,642913.48,449030,42690,16460,40.982,216.641,39.417,77.379,136.242,1.081,295.1,78.459,35091000,23.429,63.338,226.53,59.64,18.38,58932,25324000,2635000,42.69,16.46
1994,25506164,10252814,640690.84,448650,43380,16700,46.909,226.553,38.997,89.051,140.648,1.233,316.837,90.284,35759000,23.434,66.791,228.62,60.77,18.67,77147,25634000,2600000,43.38,16.7
1995,26142216,10279222,638468.2,445130,43390,16650,41.977,231.57,41.473,88.86,148.12,1.325,321.754,90.185,36421000,23.699,58.775,231.69,61.18,18.65,96403,25551400,2500000,43.39,16.65
1996,26777679,10298708,636245.56,449200,43910,16360,32.541,230.61,45.103,98.021,152.966,1.378,330.009,99.399,37076000,23.242,59.771,232.23,62.14,18.32,117184,26088000,2431000,43.91,16.36
1997,27410870,10312933,634022.92,450820,43250,16340,38.541,250.885,56.74,87.433,155.604,1.342,339.659,88.774,37724000,23.792,64.497,237.26,62.2,18.43,141383,25672700,2480000,43.25,16.34
1998,28043541,10320766,631800.28,455430,43550,16640,36.653,254.655,65.886,85.505,152.116,1.478,341.638,86.983,38364000,24.01,65.158,239,62.96,18.77,163598,25763700,2125000,43.55,16.64
1999,28676309,10323159,629577.64,456680,41790,15960,29.272,221.123,56.909,93.613,134.942,1.269,316.005,94.882,38999000,23.129,54.761,228.71,61.46,18.06,177038,24363000,2000000,41.79,15.96
2000,29309133,10320832,627355,448590,42190,16410,31.438,220.966,57.358,85.599,132.17,1.378,307.949,86.982,39630000,23.327,56.259,233.07,62.58,18.64,200762,24363700,2228000,42.19,16.41
2001,29941978,10313978,625427.29,417450,42960,16880,30.958,214.327,59.39,87.298,123.978,1.369,303.001,88.674,40256000,23.529,55.939,222.71,63.52,19.01,219063,24510400,2500000,42.96,16.88
2002,30573545,10301818,623499.58,416070,42970,17140,25.461,207.379,59.987,93.138,121.931,1.346,301.876,94.497,40875000,23.783,55.43,221.71,64.18,19.27,237506,24765300,2350000,42.97,17.14
2003,31200435,10283437,621571.87,420510,43820,17800,28.225,212.59,57.5,98.557,126.865,1.349,312.514,99.923,41484000,23.786,57.094,223.94,65.81,20.07,268144,24799260,2100000,43.82,17.8
2004,31817836,10258117,619644.16,423910,44350,18000,24.699,212.84,61.348,103.76,126.793,1.264,318.026,105.186,42076000,23.833,54.569,226.33,67.25,20.57,302515,24921742,1892313,44.35,18
2005,32422511,10225220,617716.45,425570,44490,18430,15.562,211.651,64.463,105.499,131.625,1.353,318.67,107.019,42648000,24.048,60.06,228.35,67.46,20.61,337958,25699400,1724062,44.49,18.43
2006,33015425,10185476,615788.74,421740,44230,18800,44.33,241.847,67.647,113.755,129.87,1.389,357.237,115.39,43201000,23.855,62.005,229.66,68.23,21.12,381604,26129020,2726159,44.23,18.8
2007,33597407,10140105,613861.03,424360,45380,20210,39.032,239.394,71.616,117.518,128.746,1.347,358.484,119.09,43738000,23.961,60.179,235.52,70.6,22.89,428506,26703160,4047215,45.38,20.21
2008,34166609,10088363,611933.32,426140,45530,19290,51.642,263.741,72.751,121.853,139.348,1.345,387.213,123.472,44255000,23.778,66.65,236.44,71.53,21.83,476554,26877824,4532881,45.53,19.29
2009,34720224,10029830,610005.61,425400,45290,19400,47.501,259.229,83.793,107.135,127.935,2.632,369.333,110.103,44750000,24.063,72.557,240.51,72.25,21.99,501574,26431640,4481610,45.29,19.4
2010,35257425,9965274,608077.9,425030,46280,19810,55.907,286.278,87.451,105.748,142.919,2.894,395.314,109.036,45223000,24.31,76.278,244.95,74.23,22.49,544060,27329066,5161804,46.28,19.81
2011,35769913,9892834,606731.64,417210,43100,19050,45.266,283.842,85.15,125.498,153.426,3.572,413.383,129.541,45663000,23.913,76.08,223.5,71.94,21.75,619023,25156068,5126993,43.1,19.05
2012,36262053,9813668,605385.38,426176,40340,18590,54.56,315.492,94.659,122.559,166.273,3.802,442.367,126.874,46076000,23.923,79.727,221.94,70.07,21.29,666507,23642960,5352791,40.34,18.59
2013,36759801,9735691,604039.12,448156,39700,17120,58.69,330.924,104.773,113.58,167.461,3.447,448.483,117.559,46495000,24.081,87.428,228.65,70.33,19.84,714093,23008251,5340890,39.7,17.12
2014,37299404,9668302,602692.86,447847,39070,17670,62.167,353.995,113.841,113.864,177.987,4.4,472.832,118.838,46968000,24.227,88.699,232.02,70.65,20.47,762903,22574780,5897066,39.07,17.67
2015,37904385,9616282,601346.6,447539,38880,17140,57.78,357.326,112.117,113.035,187.428,4.612,475.565,118.24,47521000,24.458,91.965,233.78,71.34,19.94,804692,22527783,5749412,38.88,17.14
2016,38592067,9582981,599594.9,447230,39460,17230,63.547,378.724,120.966,117.662,194.211,5.014,501.923,123.199,48175000,24.584,93.242,264.21,72.06,20.05,863782,22555549,5094664,39.46,17.23
2017,39346013,9563831,597397.7,494990,41960,18410,48.428,362.163,123.66,143.355,190.074,4.978,510.889,148.726,48910000,24.337,86.296,260.61,74.63,21.17,920471,24328158,5327460,41.96,18.41
2018,40115208,9545848,595404.8,494920,43990,19030,43.906,367.932,132.101,140.789,191.925,5.267,514.546,146.614,49661000,24.15,84.881,267.95,77.12,22.18,987791,26021034,5507374,43.99,19.03
2019,40827302,9512141,593412,494920,43990,19030,71.585,400.957,134.465,127.63,194.908,5.07,534.511,133.554,50339000,24.436,90.419,267.95,77.12,22.18,1060068,27239767,6473525,43.99,19.03
